dialog_act,utterance
request,what is the phone number
affirm,yes
thankyou,thank you good bye
request,can i get the phone number and address
inform,moderate
request,the price range
inform,west
inform,im looking for a restaurant in the south part of town serving
request,address
reqmore,more
reqalts,is there anything else
inform,is there an expensive
inform,i dont care
inform,west part of town moderatley price
request,whats the phone number
thankyou,thank you good bye
inform,moderate
thankyou,thank you good bye
inform,i dont care
request,whats the phone number
inform,moderate
thankyou,thank you good bye
inform,north part of town turkish food
affirm,yes
request,whats the phone number
reqalts,how about indian food
inform,any range is fine
reqalts,how about portuguese
affirm,yes it should be in the east part of town
null,im sorry
request,address
reqalts,anything else
inform,hungarian
request,address
request,can i get their phone number please
inform,any moderately
affirm,yes
inform,any
reqalts,how about asian oriental type of food
inform,kosher food
negate,no
inform,east part of town
inform,i am looking for a singaporean restaurant in the north part of town
null,tv_noise
request,what area
request,may i get the address
reqalts,anything else
inform,italian
inform,i want italian food
request,can i get their address and phone number
thankyou,thank you good bye
null,noise
inform,romanian
request,whats the address
inform,dont care
request,whats the address
thankyou,thank you good bye
inform,south
reqalts,anything else
inform,restaurant in the west part of town that serves cuban food
inform,it doesnt matter
inform,canape
request,and their phone number
request,can i get the phone number
thankyou,thank you good bye
request,what is the post code
request,okay what is the phone number
affirm,yes
inform,north
request,whats the phone number
ack,kay
request,type of food
reqalts,how about asian oriental type of food
inform,thai food
inform,cheap restaurants
request,address
request,phone number
inform,turkish food
request,address phone number prices
request,whats the address
null,unintelligible
thankyou,thank you good bye
thankyou,thank you goodbye
hello,hello welcome
null,unintelligible
thankyou,thank you good bye
request,address
request,post code
inform,im looking for a cheap restaurant in the south part of town
reqalts,what about chinese
reqalts,another place
inform,restaurant and it should be
request,can i have the address and phone number
thankyou,thank you good bye
thankyou,thank you good bye
inform,thai
request,whats the address
null,noise
inform,south
thankyou,thank you good bye
inform,south part of town
thankyou,good bye thank you
request,address
thankyou,thank you good bye
inform,south part
inform,south
null,sil
reqalts,how about international
request,whats the address
inform,moderate european food
request,what food is available
reqalts,how about korean food
negate,no
inform,i dont care
inform,ah what have you got for thai food
reqalts,what about mediterranean
inform,id like to find an expensive restaurant in the east side of town
request,phone number
request,phone number
confirm,does it serve halal food
inform,uh expensive european food
inform,seafood
inform,thai
affirm,right
affirm,yes
inform,im looking for a restaurant in a area that serves
request,whats the address
request,post code
request,post code
affirm,yes cheap
request,and whats their phone number
null,okay
request,whats the address
inform,cheap restaurant
inform,restaurant in the center serving turkish food
negate,no
thankyou,thank you good bye
request,can i have the address
inform,i dont care
inform,im looking for swedish food
request,phone number
inform,dont care
inform,basque food
inform,chinese food
bye,goodbye
reqalts,how about korean type food
reqalts,is there a restaurant serving modern european food
reqalts,is there anything else
thankyou,thank you goodbye
inform,caribbean food
thankyou,thank you good bye
affirm,yes
inform,italian
inform,i am looking for a restaurant in the south part of town
affirm,yes
reqalts,how about asian oriental
null,unintelligible
affirm,yes
reqalts,what about indian food
request,can i have the phone nu
inform,of this restaurant
thankyou,thank you good bye
inform,im looking for a restaurant serving lebanese food
inform,food
request,and phone number
inform,im looking for vietnamese food
request,can i have the address
inform,i dont care
inform,doesnt matter
null,sil
inform,food
inform,it doesnt matter
inform,id like a cheap italian restaurant
inform,im looking for an expensive restaurant in the south
request,phone number
reqalts,how about european food
request,phone number
inform,im looking for moderately priced restaurant
inform,expensive
thankyou,thank you good bye
null,inaudible
affirm,yes
inform,expensive romanian
inform,moderate
inform,singaporean
inform,international
thankyou,thank you good bye
inform,cheap restaurant south part of town
negate,no
inform,east
reqalts,how about singaporean food
null,unintelligible
thankyou,thank you
inform,doesnt matter
inform,polynesian food
inform,moderately priced
inform,south
request,address and phone number
request,price range
null,unintelligible
negate,no
request,and the phone number
inform,noise looking for an expensive restaurant in the south part of town
inform,any
reqalts,how about indian
thankyou,thank you good bye
request,what area is it in
thankyou,thank you good bye
inform,west part of town serving barbecue food
inform,italian food
request,address
null,unintelligible
request,phone number
reqalts,is there anything else
affirm,yes
inform,expensive expensive
thankyou,thank you good bye
inform,indian
inform,serving christmas food
negate,no
confirm,is it in the south part of town
request,the address
inform,cheap restaurant
inform,im looking for an expensive restaurant that serves swiss food
null,um hm
inform,asian oriental
null,sil
confirm,does it serve kosher food
request,what the address
inform,id like a restaurant in any area that serves japanese food
inform,moderately priced restaurant
reqalts,how about modern european food
inform,asian oriental
inform,italian
request,what is the address
null,sil
inform,south
reqalts,what about thai food
affirm,yes
thankyou,thank you goodbye
request,can i have the address phone number and post code
reqalts,what about thai food
reqalts,next
request,what type of food
request,and their phone number
inform,dont care
inform,i dont care
affirm,yes
request,whats the phone number
inform,it doesnt matter
request,can i have the address
thankyou,thank you good bye
thankyou,thank you good bye
thankyou,thank you good bye
inform,chinese food please
request,address
inform,looking for a cheap restaurant in the south part of town
affirm,right
request,i need the address and phone number
inform,corsica food
inform,italian food
request,can i get the address phone number and post code
null,sil
request,whats the address
bye,good bye
inform,um doesnt matter if its in the center of the town
request,post code
inform,any part of town
inform,i want a moderately priced restaurant in the west part of town
inform,german
request,what is the phone number
reqalts,how about indian
request,address phone number
request,can i have the address and phone number please
thankyou,thank you good bye
reqalts,is there any other ones anything else
affirm,oh god uh yes mediterranean food
negate,no
thankyou,thank you good bye
reqalts,anything else
inform,doesnt matter
inform,moderate eur
request,what is the address
request,address
inform,japanese food
thankyou,thank you
inform,im looking for a moderately priced restaurant in the north part of town
inform,id like to find a spanish restaurant in the center
request,address
inform,i need one in the cheap price range
affirm,yes
bye,okay and um thank you and good bye
request,address
request,what is the phone number
request,what type of food does the missing sock serve
request,address
request,and the phone number
reqalts,how about asian oriental
inform,cheap restaurant
request,may i have the address
inform,dont care
request,can i get the address and phone number
inform,im looking for a cheap restaurant that serves german food
inform,cantonese food
inform,moderate
null,sil
inform,un unusual food
reqalts,how about the west area
inform,any
inform,expensive
affirm,yes can i get an expensive restaurant in the south part of town
request,the phone number
inform,i dont care
inform,im looking for thai food
request,phone number
thankyou,thank you good bye
inform,international food
inform,im looking for a moderately priced restaurant that serves asian
inform,cross over
inform,um im trying to find a restaurant in the unintelligible of town
confirm,do they have turkish food
thankyou,thank you good bye
inform,any
inform,the west part of town
request,whats the address
request,where is it
reqalts,how about european
inform,any
request,whats the address
thankyou,thank you good bye
request,sounds good whats the address
inform,moderate
inform,asian oriental
inform,im looking for a cheap restaurant in the
inform,catalan
affirm,yes
thankyou,thank you goodbye
inform,chinese food
request,may i have the phone number
bye,okay thank you very much and good bye
inform,italian food
thankyou,thank you good bye
request,and the phone number
inform,im looking for a restaurant in the north part town and it should serve australian food
request,phone number
thankyou,thank you good b
request,what is the address
inform,cheap
request,i want to know the phone number
request,whats their phone number
request,address
inform,any area
inform,any part
affirm,right
thankyou,thank you good bye
request,phone number
null,noise
affirm,yes
inform,expensive thai food
request,what is the address
bye,goodbye
inform,crossover food
request,what is the address
inform,in the center that serves unintelligible asian
inform,spanish food in any area
inform,british food
reqalts,what about american food
request,what is the address
request,what is the phone number
thankyou,thank you good bye
inform,spanish food
request,cool whats the address
null,may i
inform,japanese food
inform,food
inform,modern european type food
inform,spanish
inform,south
thankyou,thank you good bye
inform,uh gastropub food
null,unintelligible
affirm,yes
inform,cheap restaurant
reqalts,anything else
request,what is the price range
affirm,yes
inform,im looking for a restaurant that
inform,i dont care the center part of town
inform,south part of town
inform,it doesnt matter
inform,dont care
inform,i would like to find a moderately priced restaurant and it should
repeat,repeat
bye,okay good bye
request,okay show me the address
inform,north
thankyou,thank you good bye
affirm,yes
inform,i dont care
thankyou,thank you good bye
inform,serving european food
inform,spanish
thankyou,thank you good bye
inform,i dont care
thankyou,oh my god thank you goodbye
request,post code
affirm,yes
affirm,uh yes im looking for a restaurant in any area that serves thai food
inform,west part of town
inform,any
request,what type of food does it serve
thankyou,thank you goodbye
inform,anything
inform,christmas
thankyou,thank you good bye
request,whats the phone number
inform,is there staurant that serves unusual food
thankyou,thank you good bye
request,whats the price range
confirm,is it moderately priced
inform,i want to find chinese food
inform,im looking for a restaurant in the east part of town serving japanese food
reqalts,how about british food
reqalts,um how about chinese food in the south part of town
request,what is the phone number
inform,moderate
null,unintelligible
reqalts,anything else
request,ok how about a restaurant and phone number
inform,moderate price
inform,dont care
inform,spanish food
thankyou,okay thank you good bye
inform,im looking for a restaurant serving chinese food
inform,im looking for a cheap restaurant in the west part of town
inform,i want a restaurant serving
request,and the address
request,what is the address
inform,i need lebanese food
request,could i have the address phone number
thankyou,thank you good bye
inform,i dont care
request,whats the address
request,address
inform,chinese food
thankyou,thank you goodbye
inform,any kind
inform,moderate
request,may i have the address
null,unintelligible
inform,i dont care
thankyou,thank you goodbye
inform,turkish
inform,derately priced
thankyou,thank you good bye
thankyou,thank you good bye
request,what type of food is it
inform,a cheap restaurant and it should be in the west part of town
inform,hungarian
request,whats the address
inform,the north part of town
inform,moderate
request,address
inform,im looking for a european restaurant in center area
reqalts,uh anything else
thankyou,thank you good bye
request,may i have the address please
null,inaudible
inform,north part of town
request,phone number
inform,any anything else
inform,im looking for a restaurant in the center of town that serves
request,whats the address
inform,french
inform,romanian food
reqalts,another one
inform,im looking for a restaurant in the south part of town
inform,north american
request,whats the phone number
null,or
request,address
inform,expensive restaurant south part of town
inform,modern european food
reqalts,how about vietnamese food
inform,i dont care
request,address
inform,moderately priced restaurant south part of town
inform,gastropub
inform,im looking for a restaurant that serves m
thankyou,thank you good bye
reqalts,how about international food
affirm,yes
request,phone number
request,address
request,could i have the address and phone number please
request,what area
null,can i
thankyou,alright thank you very much food bye
inform,um indian food in the north part
inform,fusion food
request,what is the address
null,medium
negate,no ah
inform,thai food
null,in the ea
inform,i need a restaurant in the north part of town that serves ko
thankyou,thank you goodbye
request,phone number
thankyou,thank you good bye
inform,french food
thankyou,thank you good bye
inform,expensive
thankyou,thank you goodbye
reqalts,how about north american food
inform,i dont care
thankyou,thank you good bye
inform,cheap jamaican
inform,moderately priced restaurant in the north part of town
inform,unintelligible restaurant
thankyou,thank you good bye
null,sil
request,and for good luck what is the post code
inform,i dont care
inform,moderately
request,address
reqalts,anything else
request,address
inform,im looking for a restaurant in the center of town that serves mediterranean
thankyou,thank you good bye
request,whats the address
inform,i am looking for a moderately priced restaurant in the west part of town
reqalts,do you have another
inform,east
inform,uh north american food
reqalts,is there anything else
request,whats the phone number
request,what type of food do they have
thankyou,thank you goodbye
inform,i dont care
thankyou,thank you
null,unintelligible
inform,expensive
inform,thai
inform,hi id like a moderately priced restaurant in the north
affirm,yes
thankyou,thank you good bye
request,address
inform,persian
bye,good bye
inform,korean
thankyou,thank you goodbye
inform,italian food
thankyou,thank you good bye
thankyou,thank you good bye
inform,european food
request,postcode
inform,european food
inform,i am looking for hungarian food
inform,i dont care
affirm,yes that serves korean food
inform,are there any that serves portuguese food
inform,east
inform,dont care
request,what is the address and phone number
inform,moroccan food
inform,spanish
request,address
thankyou,thank you good bye
inform,i dont care
request,okay whats the phone number
inform,european
null,unintelligible
request,okay and can i get the address
thankyou,thank you good bye
null,okay
inform,korean food expensive
request,whats the phone number and post code
hello,hi im looking for a restaurant in the west part of town
request,address
inform,greek food in the north part of town
request,phone number
thankyou,thank you good bye
inform,it doesnt matter
request,whats their address
null,noise
inform,i dont care
inform,indonesian
inform,im looking for an expensive restaurant in the south part of
inform,im looking for a spanish restaurant
affirm,yea
thankyou,thank you
inform,cheap
inform,kosher
null,pizza
thankyou,thank you goodbye
inform,chinese food
inform,im looking for an expensive restaurant and it should serve fus
request,can i have the phone number and the price range
request,what is its phone number
inform,chinese food
inform,chinese food east part of town
inform,looking for a moderately priced restaurant in the west part of town
request,can i have the price range
affirm,right
inform,i dont care
request,address
inform,i need thai food
inform,barbecue
inform,it doesnt matter
inform,noise um in the east part of town
inform,australian food center part of town
thankyou,thank you goodbye
null,serves
thankyou,thank you good bye
inform,any
thankyou,thank you good bye
restart,reset
request,what is the address
request,what is the phone number
thankyou,thank you good bye
inform,any any part of town
thankyou,thank you goodbye
negate,no i want thai food
thankyou,thank you goodbye
null,unintelligible
inform,spanish food
inform,i dont care
request,area
inform,i dont care
inform,i would like to find an expensive restaurant in the south part of town
inform,im looking for eritrean food
inform,cheap
request,whats the address
inform,cheap
bye,good bye
null,noise
null,noise
inform,malyasian
thankyou,thank you good bye
affirm,yes
inform,im looking for a expensive restaurant
thankyou,thank you good bye
inform,cheap
request,and the address
request,what is the address and phone number
request,whats the address
inform,portuguese
inform,cuban food
bye,ooh thank you good bye
request,can i have the phone number
inform,serves halal food
thankyou,great thank you good bye
request,what is the area of this venue
inform,im looking for a moderately priced restaurant in the north part of town
null,now
inform,any kind of food
inform,in the south part of town
inform,scottish food
inform,east
thankyou,thank you good bye
inform,west
inform,do you have cuban food
inform,want a caribbean restaurant thats moderately priced
reqalts,what about vietnamese food
inform,i need a moderately priced restaurant in the south part of town
thankyou,thank you good bye
inform,any
affirm,ye
request,whats the phone number
null,noise
request,the address
inform,cheap
inform,bistro food
request,can i get address
inform,i am looking for
request,phone number
thankyou,thank you
request,whats the phone number
thankyou,thank you good bye
inform,korea
inform,south
inform,was that in the east part of town west part of town
inform,i would like a cheap restaurant in the north part of town
bye,alright thank you good bye
inform,i dont care
thankyou,thank you good bye
request,and the address
inform,i would like vietnamese food
inform,uh i dont care
inform,im looking for a moderately priced restaurant in the north part of town
request,can i get the phone number
inform,doesnt matter
inform,west
inform,any kind of food
request,can i have the area of the restaurant
inform,british food
inform,in the east part of town
null,noise
negate,no
inform,portuguese food
affirm,yes
request,whats the address
inform,i dont care
thankyou,thank you goodbye
inform,russian
thankyou,thank you goodbye
request,whats the phone number
inform,i dont care
null,sil
inform,i want to find a restaurant in the center
inform,tuscan food
request,whats the address
thankyou,thank you good bye
inform,expensive restaurant welsh food
inform,it doesnt matter i need the north part of town
inform,im looking for a restaurant in the south part of town
request,what kind of food do they serve
negate,no italian food
request,phone number
inform,any part of town
inform,european food any price
bye,alright thank you good bye
thankyou,thank you good bye
inform,ok i would like to find a restaurant that serves italian food
inform,italian food
inform,im looking for a cheap restaurant in the north part of town
request,what is the address and telephone number
thankyou,thank you good bye
reqalts,how about asian oriental type of food
affirm,yes
thankyou,thank you goodbye
inform,restaurant south part of town christmas food
thankyou,thank you good bye
thankyou,thank you good bye
request,whats the phone number
thankyou,say thank you good bye
request,what is the address and post code
reqalts,uh what about chinese food
inform,i need a restaurant serving crossover food in the west part of town
reqalts,what else
request,what type of food
inform,okay i dont care about price range
inform,id like a restaurant in the south part of town
null,sil
thankyou,thank you good bye
thankyou,thank you good bye
confirm,does it serve kitalian food
inform,expensive restaurant east part of town
thankyou,thank you good bye
request,what is the area
inform,in the south
thankyou,thank you good bye
thankyou,thank you good bye
request,address
inform,portuguese
inform,im looking for a restaurant in the east part of town serving chinese food
request,phone number
request,and what area is that in
inform,chinese
reqalts,how about korean food
inform,cheap restaurant in the west part of town
inform,cheap in the west part of town
null,sea
confirm,is there a gastropub
inform,i would like to find a moderately priced restaurant and it should be in the east part of town
request,i need to know the phone number and price of food
inform,asian oriental food
reqalts,how bout asian oriental type of food
request,phone number
affirm,yes
negate,no
hello,hi im looking for a restaurant in the east art of town
reqalts,is there anything else
request,um could you give me the address
inform,dont care
reqalts,anything else
thankyou,thank you good bye
thankyou,thank you good bye
request,what is the address and phone number
negate,no
reqalts,another
request,phone number
thankyou,thank you good bye
inform,doesnt matter
request,what type of food
confirm,does it serve modern european food
inform,i want to find a restaurant in the center and it should serve vietnamese food
thankyou,thank you good bye
reqalts,is there anything else
request,whats the address
request,addrss
thankyou,thank you good bye
inform,i dont care
affirm,uh yes id like a restaurant in the west part of town and it should serve christmas food
reqalts,how about british food
reqalts,what about indian
inform,looking for mediterranean food uh west side of town
request,address
thankyou,thank you good bye
inform,uh turkish
affirm,yes
thankyou,thank you good bye
null,noise
reqalts,how about moderately priced
request,and the address
request,whats the price range
inform,european food
reqalts,anything else
request,phone number
inform,christmas food
inform,a cheap
thankyou,thank you good bye
request,what is their address and phone number please
inform,moderately
request,what is the address
request,type of food
thankyou,water cherries thank you good bye
inform,looking for a cheap restaurant and it should be in the west part of town
thankyou,thank you good bye
inform,catalan
request,breath whats the phone number of the venue
inform,moderately priced
reqalts,okay what about a a modern european
request,price range
inform,east part of town
reqalts,is there anything else
affirm,yes
inform,chinese food
inform,any price range
reqalts,how about french food
inform,im looking for a eritrean restaurant
inform,asian oriental
request,address
request,whats the phone number
thankyou,thank you goodbye
inform,i want a restaurant serving greek food
affirm,yes and it needs to be moderately priced
inform,kosher food
inform,dont care
inform,it doesnt matter
inform,pan asian
null,um i want
bye,stop it
thankyou,thank you good bye
request,what is their phone number
inform,im looking for a restaurant that serves turkish food
thankyou,thank thank
affirm,yes
affirm,yes
null,cough
request,may i have the post code please
inform,i dont care
request,and their post code
request,can i get the address
inform,thai food
request,whats its phone number
thankyou,thank you good bye
request,whats the address
affirm,yes
thankyou,thank you goodbye
inform,center
request,where are they located
affirm,yes
request,address
confirm,is it moderate priced
inform,im looking for an expensive restaurant in the south part of town
inform,african food
reqalts,what about korean
inform,european food
thankyou,thank you good bye
reqalts,how about mediterranean food
inform,dont care
null,i would like
inform,looking for a cheap restaurant in the north part of town
reqalts,is there anything else
request,what is the address
request,the price range
reqalts,anything else
request,address
reqalts,okay how about indian food
request,can i have the address
thankyou,thank you goodbye
inform,moderate price
thankyou,thank you good bye
null,sil
inform,dont care
bye,okay thank you and good bye
request,what type of food do they serve
null,sil
negate,no
null,unintelligible
inform,expensive restaurant serving portuguese food
inform,i dont care
thankyou,thank you good bye
null,how about
thankyou,okay thank you good bye
thankyou,thank you good bye
request,phone number
inform,restaurant in the west part of town
inform,vietnamese food
null,cough
thankyou,thank you good bye
null,noise
inform,russian food
inform,i dont care
request,whats the post code
null,noise
hello,hello
request,address
reqalts,is there anything else
thankyou,thank you good bye
thankyou,thank you good bye
inform,any type of food
inform,moderately
inform,im looking for swedish food
thankyou,thank you good bye
inform,dont care
inform,russian food
null,okay
reqalts,is there anything else
request,what is the address
request,prices
inform,im looking for a restaurant in the south part of town
request,address
request,the address
inform,looking for a cheap restaurant in the east part of town
request,phone number
request,and whats their phone number
inform,belgian food
inform,im looking for unintelligible food
thankyou,thank you
request,phone number
affirm,yes
request,address
request,whats the post code
inform,east
null,unintelligible
inform,british food
inform,south
null,noise
request,address
thankyou,thank you good bye
thankyou,okay thank you good bye
request,address and phone number
null,noise
thankyou,thank you good bye
request,their phone number
inform,west
inform,restaurant
reqalts,how about italian food
request,what is the address
inform,is there on serving chineese
inform,south
request,and can i get the address
thankyou,thank you good bye
request,phone number
thankyou,thank you good bye
affirm,yea
inform,romanian food
inform,moderately priced
thankyou,thank you good bye
inform,dont care
inform,jamaican
thankyou,thank you good bye
reqalts,how about italian food
reqalts,is that the only one with indian food
inform,irish food
inform,gastropub food
request,address
null,sil
inform,im looking for a moderately priced restaurant that serves austria asian food
null,sil
negate,no i want american food
thankyou,thank you good bye
request,okay whats the address for that
inform,south
null,sil
inform,east
negate,no
thankyou,thank you good bye
request,what is the phone number
thankyou,thank you good bye
inform,i dont care
inform,im looking for an expensive restaurant in the east
inform,swedish food
inform,dont care
request,what is the post code
thankyou,thank you good bye
null,sil
inform,moderately priced restaurant in east part of town
inform,im looking for a restaurant in the north of town serving french type of food
inform,im looking for an expensive restaurant in the south part of town
inform,south
inform,find a restaurant in the south part of town
negate,no im looking for a restaurant in the south part of town that serves
reqalts,how about romanian food
request,the address
null,sil
request,phone number
negate,no south
reqalts,are there any restaurants that serve english food
request,phone number
reqalts,how about asian food
null,sil
thankyou,thank you
inform,im looking for a restaurant in the east part of town
reqalts,what about asian oriental food
inform,north
request,what is the price range
request,can i have the address
request,post code
inform,vietnamese food
inform,i want to find an expensive restaurant that serves vegetarian food
negate,no
thankyou,thank you good bye
request,what is the phone number
inform,turkish
null,noise
thankyou,thank you good bye
inform,any
inform,any kind of food
request,phone number
inform,expensive
request,what is the phone number
inform,it has to serve unusual
inform,i dont care
thankyou,thank you good bye
thankyou,thank you good bye
inform,gastropub
inform,world food
negate,no
request,whats the address
thankyou,thank you good bye
inform,i would like asian oriental
thankyou,thank you goodbye noise
inform,the east part
request,the address
inform,gastropub food
inform,um world food
request,whats the price range
inform,i want an expensive restaurant that serves polish food
inform,looking for caribbean food
inform,indonesian food
bye,good bye
request,price range
inform,i want a restaurant in the center and it should serve european food
thankyou,thank you good bye
thankyou,thank you good bye
request,what food do they serve
request,what is the address
thankyou,thank you good bye
null,whats the ph
request,may i have the address
inform,australian
null,noise
reqalts,how about indian food
inform,cheap restaurant
null,unintelligible
thankyou,thank you
inform,i dont care
inform,i dont care
inform,any
null,what
null,of the venue
reqalts,anything else
request,noise breath whats their phone number
thankyou,thank you good bye
inform,like to find a moderately priced restaurant in the west part of town
null,i need
thankyou,thank you good bye
null,sil
inform,i am searching for a moderately priced restaurant in the east part of
inform,portuguese food
thankyou,okay thank you
inform,expensive
null,system
inform,anything
null,that serves viet
inform,french food
request,whats the address
request,whats the phone number
negate,no
thankyou,thank you good bye
thankyou,thank you good bye
request,what is the phone number
thankyou,thank you good bye
thankyou,thank you good bye
request,whats the address
inform,a restaurant in the west part of town should serve crossover food
inform,south
inform,i need an expensive restaurant that serves afghan food
inform,im looking for a cheap restaurant that serves malaysian food
request,whats the address
request,phone number
inform,european
thankyou,thank you goodbye noise
inform,east
affirm,yes
thankyou,thank you good bye
inform,expensive
request,what kind of food is that
thankyou,thank you good bye
inform,east part
inform,food
thankyou,thank you goodbye
request,what is the address
inform,im looking for a cheap restaurant
inform,im looking for a restaurant in the center of town that serves danish food
inform,christmas food
inform,im looking for a cheap restaurant that serves turkish
null,can
reqalts,how about korean food
null,sil
thankyou,okay thank you good bye
request,okay and can i get the phone number
reqalts,how about ah one that serves asian oriental
inform,i want to find a restaurant in the east part of town
request,address and food
reqalts,how about british food
inform,find restaurant in north part of town serving asian
inform,im looking for singaporean food
reqalts,how about chinese
reqalts,could i have another one
thankyou,thank you good bye
inform,italian
request,and the price range
reqalts,anything else
request,and what type of food
reqalts,what about indian food
thankyou,thank you good bye
inform,looking for a moderately priced restaurant that serves cancun
inform,moroccan food
thankyou,thank you good bye
inform,moderately pri
null,unintelligible
inform,chinese food
request,phone number
inform,cheap list
null,noise
null,sil
request,price range
request,what is the price range
thankyou,thank you good bye
thankyou,thank you good bye
inform,um any time of european type food
inform,im looking for
inform,is there an indian restaurant the east of town
inform,british food
request,could i get their address and phone number
request,and type of food
inform,indian
inform,belgium food
thankyou,thank you good bye
thankyou,thank you good bye
reqalts,how about indian food
inform,i need a restaurant in the east part of town that serves canape food
inform,any type of food
inform,korean
inform,okay uh forget that then can i get a restaurant serving italian food
bye,good thank you good bye
affirm,uh yes can i get a moderate moderately priced restaurant in the west part of town
inform,im looking for a cheap chinese restaurant
hello,hi i would like a cheap restaurant in the north part of town
inform,i dont care
reqalts,how about cheap portuguese food
inform,im looking for a restaurant in the north part of town and it should serve
inform,restaurant
request,phone number
inform,english
request,what is the address
null,sil
inform,i want a cheap restaurant in the north
null,sil
inform,doesnt matter
request,what is the phone number
null,sil
request,what is the phone number and price range
bye,good bye
request,and the area
request,what area is it in
request,address
deny,wrong
request,what area is it in
inform,i dont care
null,sil
inform,im looking for an expensive restaurant that serves european food
inform,any
inform,north
request,whats the address
inform,scandinavian food
inform,any kind
request,what type of food
thankyou,thank you good bye
inform,chinese food
affirm,yes
inform,im looking for a moderately priced restaurant that serves vietnamese food
request,and what area of town are they
thankyou,thank you good bye
affirm,yes
request,okay whats the phone number
thankyou,thank you good bye
inform,i dont care
affirm,yes
thankyou,thank you good
inform,dont care
thankyou,thank you good bye
inform,i need asian food
reqalts,what about in the west side of town
inform,mediterranean
inform,indian
thankyou,thank you good bye
request,expensive price range
null,unintelligible
request,may i have the address
request,and the post code
inform,european food
thankyou,thank you good bye
inform,im looking for a restaurant in any area that serves russian food
inform,any
request,uh can i get the address
request,address
negate,no
reqalts,what about british food
thankyou,thank you good bye
request,address phone number and postcode
request,address
thankyou,thank you
inform,turkish
inform,dont care east part of town
request,what is the address
inform,south
request,phone
inform,i do not care
thankyou,thank you
request,what is the address
request,what is the phone number
inform,malaysian food malaysian
inform,south
inform,im looking for a restaurant in the center that serves caribbean food
thankyou,thank you good bye
request,what is the address and phone number
null,noise
affirm,yes
inform,im looking for a cheap restaurant in the west part of town
request,phone number
affirm,yes
affirm,yes can i have
thankyou,thank you good bye
affirm,yes
negate,no
inform,sea food
inform,christmas food
null,laughing
inform,north
inform,serving asian oriental
thankyou,thank you good bye
request,whats their address
inform,dont care
thankyou,thank you good bye
inform,it doesnt matter
inform,something serving swiss food
request,phone number
request,post code
request,whats the address
thankyou,thank you good bye
inform,any
thankyou,thank you good bye
inform,vietnamese food
request,can i have the phone number please
thankyou,thank you good bye
request,what kind of food does it serve
inform,cheap
request,can i have the address and post code
thankyou,thank you good bye
negate,no
request,and whats their price range
inform,cheap
inform,moderate ly
deny,wrong
inform,i would like a moderately priced restaurant serving african food
inform,swedish food
request,whats the address
negate,no
inform,uh indian
inform,the north
inform,cheap
inform,i dont care
inform,fine i want restaurant in the north part of town
request,address
request,and type of food
inform,is there a restaurant in the center of town serving
thankyou,thank you good bye
inform,indian food
inform,i dont care
reqalts,what about australian asian
reqalts,is there anything else
inform,italian
request,what is the price range
thankyou,thank you good bye
thankyou,thank you good bye
inform,i want to find an expensive restaurant in the south part of town
request,whats the phone number
null,sil
inform,any
inform,french
thankyou,thank you good bye
inform,chinese
request,phone number
inform,korean
affirm,yes
inform,moderate
affirm,yes
request,address
inform,im looking for an expensive restaurant that serves basque food
request,whats their address
request,what is the address
thankyou,thank you good bye
bye,good bye
reqalts,how about chinese food
inform,i dont care
confirm,is it moderately
thankyou,thank you good bye
request,phone number
null,noise
inform,doesnt matter
inform,i am looking for a moderately priced restaurant that
request,whats the address
inform,i need a mexican restaurant
deny,wrong
request,address
request,what type of food
inform,im looking for corsica food
inform,moderately priced
request,phone number
inform,european food
affirm,yes
request,uh address
affirm,yes
inform,i want to find a expensive restaurant in the south part of town
request,phone number
thankyou,thank you good bye
affirm,yes
reqalts,okay is there a restaurant that serves thai food
request,how about the post code
reqalts,is there anything else
thankyou,thank you good bye
inform,food
request,address
null,sil
thankyou,thank you
inform,dont care
inform,i dont care
inform,not korean unintelligible
inform,im looking for a place that serves mexican food
request,phone number
request,address
negate,not
inform,im looking for a cheap restaurant in the south part of town
thankyou,thank you goodbye
reqalts,how about british food
thankyou,thank you good bye
request,and the telephone number
negate,no
request,can i have their address
request,the address and phone number
request,phone number
thankyou,thank you goodbye
affirm,yes
inform,cheap
inform,south
thankyou,okay thank you good bye
bye,good bye
inform,cheap
inform,catalan
request,what is the address
request,phone number
negate,no
inform,french food
request,okay and what kind of food do they serve
request,the address and phone number
thankyou,thank you goodbye
inform,im looking for an expensive restaurant that serves european food
thankyou,thank you good bye
inform,food
inform,south
null,unintelligible
request,what is the address and phone number
affirm,yes
request,may i have the address and phone number
inform,id like a cheap restaurant in the south part of town
inform,im looking for something in the south part of town that serves creative
inform,im looking for a russian food
request,what type of food do they serve
inform,i want a cheap restaurant in the west part of town
request,what is the phone number
inform,i want a moderately priced restaurant in the north part of town
inform,i dont care
request,okay can i have the address phone number and the post code of the restaurant
request,okay whats the phone number
inform,i need a cheap restaurant in the south part of town
inform,pan asian food
inform,dont care
reqalts,how about british food
inform,any
inform,moderately
inform,thai food
request,address
thankyou,thank you good bye
request,what is the phone number
reqalts,is there anything else
null,sil
null,sil
reqalts,how about chinese
null,sil
hello,hi im looking for a restaurant
request,price range
inform,breath id like to find a moderately priced restaurant in the west part of
inform,cheap
inform,okay well any price range at all
request,address
inform,cheap
thankyou,okay thank you good bye
thankyou,thank you good bye
thankyou,thank you good bye
inform,cheap
